No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
7897,N#CC1COC(=O)C1c1ccccc1,*C1COC(=O)C1*,*c1ccccc1,*C#N,-0.01592,0.15591
7898,C#CC1CC(Br)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*Br,*C#C,-0.01592,0.16961
7899,COC1CC(=O)OC(=O)C1C(=O)OC,*C1CC(=O)OC(=O)C1*,*C(=O)OC,*OC,-0.01592,0.17403
7900,C1OC(=O)OC1OCOC,*C1OC(=O)OC1*,*,*OCOC,-0.01592,0.17637
7901,COC(=O)C1CC(=O)OC1Cl,*C1CC(=O)OC1*,*C(=O)OC,*Cl,-0.01592,0.17752
7902,CC1CC(F)OS(=O)(=O)C1,*C1CC(*)OS(=O)(=O)C1,*F,*C,-0.01592,0.18713
7903,N#CC1C(=O)OCC1c1cccs1,*C1COC(=O)C1*,*C#N,*c1cccs1,-0.01593,0.1484
7904,C[Si](C)(C)C1CCC(Br)OS1=O,*C1CCC(*)S(=O)O1,*[Si](C)(C)C,*Br,-0.01593,0.1511
7905,C=CCC1CC(N=C=O)COS1(=O)=O,*C1COS(=O)(=O)C(*)C1,*N=C=O,*CC=C,-0.01593,0.16465
7906,CC1C(=O)OC(=O)C1OC(=O)OC,*C1C(=O)OC(=O)C1*,*C,*OC(=O)OC,-0.01593,0.1792
7907,CCCC1CCOS(=O)(=O)C1C(F)(F)F,*C1CCOS(=O)(=O)C1*,*CCC,*C(F)(F)F,-0.01593,0.18387
7908,C1CC(=O)OC(=O)C1CC=C,*C1CC(=O)OC(=O)C1*,*CC=C,*,-0.01594,0.16104
7909,C[Si](C)(C)C1COC(=O)C1Cl,*C1COC(=O)C1*,*Cl,*[Si](C)(C)C,-0.01594,0.16528
7910,C=CC1OC(=O)CC1Br,*C1CC(=O)OC1*,*Br,*C=C,-0.01594,0.16547
7911,C#CC1C(C(F)(F)F)CCOS1(=O)=O,*C1CCOS(=O)(=O)C1*,*C(F)(F)F,*C#C,-0.01594,0.1733
7912,C[Si](C)(C)C1CCC(N=C=O)OS1=O,*C1CCC(*)S(=O)O1,*[Si](C)(C)C,*N=C=O,-0.01595,0.15084
7913,CC1COS(=O)(=O)CC1OC(C)=O,*C1COS(=O)(=O)CC1*,*C,*OC(C)=O,-0.01595,0.17932
7914,COC(=O)C#C,*COC(*)=O,*C#C,*,-0.01596,0.17386
