No,SMILES,Skeletons,FunctionalGroups1,FunctionalGroups2,LUMOs,Chemical_Hardness
89,CC(=O)OCNC(C)=O,*COC(*)=O,*C,*NC(C)=O,-0.00788 ,0.16539 
90,C#CCOC(=O)C,*COC(*)=O,*C,*C#C,-0.00390 ,0.16954 
91,CC(=O)OCC=CC(=O)OC,*COC(*)=O,*C,*C=CC(=O)OC,-0.02264 ,0.16048 
92,COC(=O)CC=C,*COC(*)=O,*CC=C,*,-0.00323 ,0.16139 
93,C=CCC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*CC=C,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00829 ,0.16388 
94,C=CCOC(=O)CC=C,*COC(*)=O,*CC=C,*C=C,-0.00434 ,0.16124 
95,C=CCC(=O)OCC,*COC(*)=O,*CC=C,*C,-0.00326 ,0.16071 
96,C=CCCOC(=O)CC=C,*COC(*)=O,*CC=C,*CC=C,-0.00501 ,0.15842 
97,C=CCC(=O)OCOC(C)=O,*COC(*)=O,*CC=C,*OC(C)=O,-0.00651 ,0.16093 
98,C=CCC(=O)OCOC,*COC(*)=O,*CC=C,*OC,-0.00643 ,0.16045 
99,C=CCC(=O)OCOCOC,*COC(*)=O,*CC=C,*OCOC,-0.00606 ,0.16163 
100,C=CCC(=O)OCOC(=O)OC,*COC(*)=O,*CC=C,*OC(=O)OC,-0.00403 ,0.16387 
101,C=CCC(=O)OCC(=O)OC,*COC(*)=O,*CC=C,*C(=O)OC,-0.00791 ,0.16127 
102,C=CCC(=O)OCC#N,*COC(*)=O,*CC=C,*C#N,-0.01138 ,0.16316 
103,C=CCC(=O)OCN=C=O,*COC(*)=O,*CC=C,*N=C=O,-0.00864 ,0.16470 
104,C=CCC(=O)OCF,*COC(*)=O,*CC=C,*F,-0.00429 ,0.16467 
105,C=CCC(=O)OCCl,*COC(*)=O,*CC=C,*Cl,-0.00598 ,0.16419 
106,C=CCC(=O)OCBr,*COC(*)=O,*CC=C,*Br,-0.00723 ,0.16350 
107,C=CCC(=O)OCc1ccccc1,*COC(*)=O,*CC=C,*c1ccccc1,-0.00448 ,0.15322 
108,C=CCC(=O)OCc1cccs1,*COC(*)=O,*CC=C,*c1cccs1,-0.00365 ,0.14613 
109,C=CCC(=O)OCC(F)(F)F,*COC(*)=O,*CC=C,*C(F)(F)F,-0.00718 ,0.16388 
110,C=CCC(=O)OC[Si](C)(C)C,*COC(*)=O,*CC=C,*[Si](C)(C)C,-0.00735 ,0.15891 
111,C=CCC(=O)OCCCC,*COC(*)=O,*CC=C,*CCC,-0.00256 ,0.16179 
112,C=CCC(=O)OCNC(C)=O,*COC(*)=O,*CC=C,*NC(C)=O,-0.00777 ,0.16248 
113,C#CCOC(=O)CC=C,*COC(*)=O,*CC=C,*C#C,-0.00420 ,0.16244 
114,C=CCC(=O)OCC=CC(=O)OC,*COC(*)=O,*CC=C,*C=CC(=O)OC,-0.02293 ,0.15340 
115,COC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*,-0.00612 ,0.17926 
116,CC(=O)OC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*OC(C)=O,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00995 ,0.18858 
117,C=CCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*C=C,-0.00775 ,0.16262 
118,CCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*C,-0.00395 ,0.18428 
119,C=CCCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*CC=C,-0.00410 ,0.16248 
120,CC(=O)OCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*OC(C)=O,-0.00686 ,0.17988 
121,COCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*OC,-0.00671 ,0.18124 
122,COCOCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*OCOC,-0.00864 ,0.17141 
123,COC(=O)OCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*OC(=O)OC,-0.00593 ,0.18727 
124,COC(=O)COC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*C(=O)OC,-0.00614 ,0.18173 
125,CC(=O)OC(=O)OCC#N,*COC(*)=O,*OC(C)=O,*C#N,-0.01224 ,0.18840 
126,CC(=O)OC(=O)OCN=C=O,*COC(*)=O,*OC(C)=O,*N=C=O,-0.01113 ,0.17734 
127,CC(=O)OC(=O)OCF,*COC(*)=O,*OC(C)=O,*F,-0.00658 ,0.18856 
128,CC(=O)OC(=O)OCCl,*COC(*)=O,*OC(C)=O,*Cl,-0.00941 ,0.18227 
129,CC(=O)OC(=O)OCBr,*COC(*)=O,*OC(C)=O,*Br,-0.01013 ,0.17221 
130,CC(=O)OC(=O)OCc1ccccc1,*COC(*)=O,*OC(C)=O,*c1ccccc1,-0.00656 ,0.15491 
131,CC(=O)OC(=O)OCc1cccs1,*COC(*)=O,*OC(C)=O,*c1cccs1,-0.00732 ,0.14848 
132,CC(=O)OC(=O)OCC(F)(F)F,*COC(*)=O,*OC(C)=O,*C(F)(F)F,-0.01089 ,0.18451 
133,CC(=O)OC(=O)OC[Si](C)(C)C,*COC(*)=O,*OC(C)=O,*[Si](C)(C)C,-0.00755 ,0.16654 
134,CCCCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*CCC,-0.00381 ,0.18299 
135,CC(=O)NCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*NC(C)=O,-0.01514 ,0.16652 
136,C#CCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*C#C,-0.00560 ,0.17304 
137,COC(=O)C=CCOC(=O)OC(C)=O,*COC(*)=O,*OC(C)=O,*C=CC(=O)OC,-0.02199 ,0.16178 
138,COC(=O)OC,*COC(*)=O,*OC,*,-0.00144 ,0.18851 
139,COC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*OC,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00847 ,0.19695 
140,C=CCOC(=O)OC,*COC(*)=O,*OC,*C=C,-0.00122 ,0.16886 
141,CCOC(=O)OC,*COC(*)=O,*OC,*C,-0.00212 ,0.18673 
142,C=CCCOC(=O)OC,*COC(*)=O,*OC,*CC=C,-0.00099 ,0.16244 
143,COCOC(=O)OC,*COC(*)=O,*OC,*OC,-0.00335 ,0.18087 
144,COC(=O)OCOCOC,*COC(*)=O,*OC,*OCOC,-0.00320 ,0.16855 
145,COC(=O)OCOC(=O)OC,*COC(*)=O,*OC,*OC(=O)OC,-0.00299 ,0.19096 
146,COC(=O)OCC(=O)OC,*COC(*)=O,*OC,*C(=O)OC,-0.00607 ,0.18203 
147,COC(=O)OCC#N,*COC(*)=O,*OC,*C#N,-0.00948 ,0.19471 
148,COC(=O)OCN=C=O,*COC(*)=O,*OC,*N=C=O,-0.00853 ,0.17539 
149,COC(=O)OCF,*COC(*)=O,*OC,*F,-0.00275 ,0.19533 
150,COC(=O)OCCl,*COC(*)=O,*OC,*Cl,-0.00578 ,0.18415 
151,COC(=O)OCBr,*COC(*)=O,*OC,*Br,-0.00648 ,0.16886 
152,COC(=O)OCc1ccccc1,*COC(*)=O,*OC,*c1ccccc1,-0.00322 ,0.15421 
153,COC(=O)OCc1cccs1,*COC(*)=O,*OC,*c1cccs1,-0.00292 ,0.14686 
154,COC(=O)OCC(F)(F)F,*COC(*)=O,*OC,*C(F)(F)F,-0.00714 ,0.19605 
155,COC(=O)OC[Si](C)(C)C,*COC(*)=O,*OC,*[Si](C)(C)C,-0.00728 ,0.16330 
156,CCCCOC(=O)OC,*COC(*)=O,*OC,*CCC,-0.00183 ,0.18589 
157,COC(=O)OCNC(C)=O,*COC(*)=O,*OC,*NC(C)=O,-0.01216 ,0.16515 
158,C#CCOC(=O)OC,*COC(*)=O,*OC,*C#C,-0.00333 ,0.17185 
159,COC(=O)OCC=CC(=O)OC,*COC(*)=O,*OC,*C=CC(=O)OC,-0.02425 ,0.16229 
160,COCOC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*OCOC,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00873 ,0.18393 
161,C=CCOC(=O)OCOC,*COC(*)=O,*OCOC,*C=C,-0.00247 ,0.16845 
162,CCOC(=O)OCOC,*COC(*)=O,*OCOC,*C,-0.00318 ,0.17288 
163,C=CCCOC(=O)OCOC,*COC(*)=O,*OCOC,*CC=C,-0.00380 ,0.16394 
164,COCOC(=O)OCOC(C)=O,*COC(*)=O,*OCOC,*OC(C)=O,-0.00580 ,0.17881 
165,COCOC(=O)OCOC,*COC(*)=O,*OCOC,*OC,-0.00350 ,0.17390 
166,COCOCOC(=O)OCOC,*COC(*)=O,*OCOC,*OCOC,-0.00403 ,0.17595 
167,COCOC(=O)OCOC(=O)OC,*COC(*)=O,*OCOC,*OC(=O)OC,-0.00407 ,0.18334 
168,COCOC(=O)OCC(=O)OC,*COC(*)=O,*OCOC,*C(=O)OC,-0.00683 ,0.17292 
169,COCOC(=O)OCC#N,*COC(*)=O,*OCOC,*C#N,-0.01243 ,0.17515 
170,COCOC(=O)OCN=C=O,*COC(*)=O,*OCOC,*N=C=O,-0.00992 ,0.17548 
171,COCOC(=O)OCF,*COC(*)=O,*OCOC,*F,-0.00306 ,0.18485 
172,COCOC(=O)OCCl,*COC(*)=O,*OCOC,*Cl,-0.00451 ,0.18382 
173,COCOC(=O)OCBr,*COC(*)=O,*OCOC,*Br,-0.00788 ,0.17155 
174,COCOC(=O)OCc1ccccc1,*COC(*)=O,*OCOC,*c1ccccc1,-0.00543 ,0.15414 
175,COCOC(=O)OCc1cccs1,*COC(*)=O,*OCOC,*c1cccs1,-0.00570 ,0.14736 
176,COCOC(=O)OCC(F)(F)F,*COC(*)=O,*OCOC,*C(F)(F)F,-0.00699 ,0.17978 
177,COCOC(=O)OC[Si](C)(C)C,*COC(*)=O,*OCOC,*[Si](C)(C)C,-0.00977 ,0.17406 
178,CCCCOC(=O)OCOC,*COC(*)=O,*OCOC,*CCC,-0.00362 ,0.17970 
179,COCOC(=O)OCNC(C)=O,*COC(*)=O,*OCOC,*NC(C)=O,-0.01324 ,0.16544 
180,C#CCOC(=O)OCOC,*COC(*)=O,*OCOC,*C#C,-0.00479 ,0.17196 
181,COCOC(=O)OCC=CC(=O)OC,*COC(*)=O,*OCOC,*C=CC(=O)OC,-0.02381 ,0.16288 
182,COC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*,-0.00321 ,0.18924 
183,COC(=O)OC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,*COC(*)=O,*OC(=O)OC,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-0.00593 ,0.19777 
184,C=CCOC(=O)OC(=O)OC,*COC(*)=O,*OC(=O)OC,*C=C,-0.00203 ,0.17121 
